empathy,polarity,occurences
tired,-0.5,261
great,1.0,49
sad,-1.0,264
anxious,-1.0,234
okay,0.1,164
stress,-0.1,128
depressed,-1.0,159
calm,1.0,184
lonely,-0.5,124
excited,1.0,155
sleep,-0.1,119
sick,-0.2,52
angry,-1.0,128
annoyed,-0.8,173
better,0.2,88
average,0.0,121
emotionless,-0.3,126
scared,-1.0,56
lazy,-0.2,35
confused,-0.1,117
determined,0.5,96
hungry,-0.1,54
unsatisfied,-0.5,62
despair,-1.0,29
idk,-0.1,76
intoxicated,0.0,44
pain,-1.0,141
unmotivated,-0.8,84
disconnected,-0.6,110
relief,0.2,36
affectionate,1.0,39
embarrassed,-0.6,63
confidence,1.0,63
sexy,0.1,15
loss,-1.0,37
distortion,-1.0,69
engaged,1.0,56
restless,-0.2,19
pensive,0.1,54
upset,-0.9,39
bored,-0.1,126
uneasy,-0.5,53
vulnerable,-0.8,33
jealous,-1.0,7
inspired,1.0,21
full,0.0,30
regret,-0.8,42
flustered,-0.8,28
loved,1.0,8
happy,1.0,286
emotional,-0.3,35
ignored,-1.0,7
healthy,1.0,6
stable,1.0,51
surprised,0.0,4
rude,-0.2,4
playful,1.0,4
uncertain,-0.5,30
creative,1.0,5
