message,polarity,polarity classification
tired,-0.5,-1
exhausted,-0.5,-1
drained,-0.5,-1
tired but happy,0.25,1
in tired,-0.5,-1
very tired,-0.5,-1
a bit tired,-0.5,-1
i feel tired,-0.5,-1
tired but good,-0.5,-1
worn out,-0.5,-1
lethargy,-0.5,-1
a little tired,-0.5,-1
tired and sad,-0.75,-1
foggy,-0.5,-1
tired but content,0.25,1
weary,-0.5,-1
sluggish,-0.5,-1
tired but ok,-0.2,-1
in feeling tired,-0.5,-1
tired and sleepy,-0.3,-1
tired but okay,-0.2,-1
tired and hungry,-0.3,-1
pretty tired,-0.5,-1
little tired,-0.5,-1
feeling tired,-0.5,-1
tired and bored,-0.3,-1
tired and stressed,-0.3,-1
tired and sore,-0.75,-1
really tired,-0.5,-1
tired and lonely,-0.5,-1
tired but satisfied,0.25,1
tired and anxious,-0.75,-1
tired sad,-0.75,-1
tired and happy,0.25,1
tired anxious,-0.75,-1
i am tired,-0.5,-1
fatigued,-0.5,-1
tired worried,-0.75,-1
a little bit tired,-0.5,-1
i feel exhausted,-0.5,-1
so tired,-0.5,-1
tired and sick,-0.35,-1
tired but hopeful,-0.5,-1
burnt out,-0.5,-1
bit tired,-0.5,-1
just tired,-0.5,-1
tired and calm,0.25,1
overlooked,-0.4666666666666667,-1
tired and annoyed,-0.65,-1
tired and frustrated,-0.65,-1
tired but excited,0.25,1
tired,-0.5,-1
drowsy,-0.5,-1
hot and tired,-0.5,-1
tired and unmotivated,-0.65,-1
tired but calm,0.25,1
tire,-0.5,-1
tired overwhelmed,-0.4666666666666667,-1
tired and depressed,-0.75,-1
tired sore,-0.75,-1
tired of,-0.5,-1
tired and worried,-0.75,-1
tired and aggravated,-0.65,-1
tired relaxed,0.25,1
physically tired,-0.5,-1
tired content,0.25,1
tired annoyed,-0.65,-1
little bit tired,-0.5,-1
tire,-0.5,-1
tired,-0.5,-1
mentally exhausted,-0.5,-1
tired numb,-0.55,-1
tired and drained,-0.5,-1
tired but pretty good,-0.5,-1
tired and nervous,-0.75,-1
tired but optimistic,-0.5,-1
tired and irritated,-0.65,-1
tired sad,-0.75,-1
in a little tired,-0.5,-1
kind of tired,-0.5,-1
tired but fine,-0.2,-1
i feel tired but happy,0.25,1
tied,-0.5,-1
i feel drained,-0.5,-1
tired and confused,-0.3,-1
tired exhausted,-0.5,-1
tired but fulfilled,0.5,1
tired and a bit frustrated,-0.65,-1
kind tired,-0.5,-1
not tired,1.0,1
tired but accomplished,0.25,1
exhausted and frustrated,-0.65,-1
tired happy,0.25,1
extremely tired,-0.5,-1
a bit tired but fine,-0.2,-1
i am feeling tired,-0.5,-1
foggy,-0.5,-1
tired and weird,-0.3666666666666667,-1
fatigue,-0.5,-1
happy,1.0,1
great,1.0,1
pretty good,1.0,1
positive,1.0,1
optimistic,1.0,1
very good,1.0,1
motivate,1.0,1
amazing,1.0,1
in happy,1.0,1
grateful,1.0,1
really good,1.0,1
fantastic,1.0,1
very happy,1.0,1
i feel happy,1.0,1
i feel pretty good,1.0,1
pretty happy,1.0,1
i feel great,1.0,1
pleased,1.0,1
wonderful,1.0,1
quite good,1.0,1
happy and excited,1.0,1
super,1.0,1
good happy,1.0,1
good but tired,-0.5,-1
glad,1.0,1
fulfilled,1.0,1
in feeling pretty good,1.0,1
happy and relaxed,1.0,1
in feeling great,1.0,1
happy but tired,0.25,1
joyful,1.0,1
cheerful,1.0,1
perfect,1.0,1
amused,1.0,1
pretty great,1.0,1
happy ,1.0,1
thankful,1.0,1
very well,1.0,1
in great,1.0,1
happy and content,1.0,1
not so good,-1.0,-1
happy and tired,0.25,1
really happy,1.0,1
good and happy,1.0,1
happy relaxed,1.0,1
happy and calm,1.0,1
